index,Giá Q3/22,Giá Q4/22,Giá Q1/23,Giá Q2/23,Giá Q3/23,Giá Q4/23,Giá Q1/24,Giá Q2/24,Giá Q3/24,Giá Q2/22
3820,47.8 53.4 56.7,49.9 54.0 60.0,52.6 58.3 61.0,51.8 56.7 62.5,51.7 57.5 63.4,55.7 58.4 61.9,60.0 65.1 75.0,62.3 70.0 80.5,66.6 74.0 78.8,
3826,32.3 37.8 43.7,35.7 41.7 45.5,37.0 42.2 46.8,39.3 41.7 46.8,40.7 42.6 49.9,40.4 40.8 48.5,43.5 50.4 53.9,46.0 51.6 57.4,47.9 52.2 57.4,
3827,40.0 40.9 47.6,46.2 48.2 48.8,45.8 47.9 53.8,42.4 49.2 54.2,44.4 49.2 53.4,44.3 49.1 54.4,44.3 49.1 54.4,44.3 49.1 54.4,56.1 65.5 71.1,
3828,40.0 60.0 71.1,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,72.7 90.8 97.2,71.4 87.0 95.3,
3829,72.5 79.0 86.3,60.0 65.0 84.5,59.0 78.8 85.9,73.3 79.2 87.4,73.3 79.2 87.4,60.8 81.1 89.3,69.8 82.5 96.0,69.7 80.0 90.4,76.2 86.9 104.2,
3830,72.5 79.0 86.3,60.0 65.0 84.5,59.0 78.8 85.9,73.3 79.2 87.4,73.3 79.2 87.4,60.8 81.1 89.3,69.8 82.5 96.0,69.7 80.0 90.4,76.2 86.9 104.2,
3831,32.3 37.8 43.7,35.7 41.7 45.5,37.0 42.2 46.8,39.3 41.7 46.8,40.7 42.6 49.9,40.4 40.8 48.5,43.5 50.4 53.9,46.0 51.6 57.4,47.9 52.2 57.4,
3838,40.0 60.0 71.1,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,60.0 70.0 75.0,72.7 90.8 97.2,71.4 87.0 95.3,
3839,38.3 44.6 58.2,39.6 48.6 62.0,40.8 50.0 57.1,39.2 43.9 54.8,39.3 43.9 52.3,44.1 55.5 60.2,51.8 59.1 65.9,48.9 59.0 69.6,59.4 69.7 104.3,
3841,40.0 40.9 47.6,46.2 48.2 48.8,45.8 47.9 53.8,42.4 49.2 54.2,44.4 49.2 53.4,44.3 49.1 54.4,44.3 49.1 54.4,44.3 49.1 54.4,56.1 65.5 71.1,
3843,34.5 40.5 42.1,35.0 40.6 45.7,33.8 41.0 44.8,30.0 41.1 43.2,36.2 41.8 49.4,35.5 41.8 45.3,35.9 42.3 48.4,45.5 54.2 57.0,53.4 58.5 79.2,
3845,72.5 79.0 86.3,60.0 65.0 84.5,59.0 78.8 85.9,73.3 79.2 87.4,73.3 79.2 87.4,60.8 81.1 89.3,69.8 82.5 96.0,69.7 80.0 90.4,76.2 86.9 104.2,
